Student_ID,Name,Email,Phone,Course,Fee_Paid,City,Enrolled_Date
STU1001,Manoj N,manoj1@gmail.com,7240034173,Machine Learning,True,Chennai,2025-06-02
STU1002,Priya P,priya2@gmail.com,8027410824,Python,False,Coimbatore,2025-06-20
STU1004,Anitha T,anitha4@gmail.com,8463336052,Python,True,Salem,2025-02-09
STU1005,Karthik L,karthik5@gmail.com,9109233153,Python,False,Coimbatore,2025-06-24
STU1006,Deepa V,deepa6@gmail.com,9227893764,Machine Learning,True,Trichy,2025-01-17
STU1007,Suresh R,suresh7@gmail.com,8714251432,Ml,True,Madurai,2025-01-20
STU1008,Kavitha D,kavitha8@gmail.com,7504166629,Machine Learning,True,Coimbatore,2025-05-02
STU1009,Rajesh R,rajesh9@gmail.com,7868793476,Machine Learning,True,Trichy,2025-06-24
STU1010,Nithya V,nithya10@gmail.com,8363245262,Ml,True,Madurai,2025-03-25
STU1011,Arun V,arun11@gmail.com,9330959272,Machine Learning,True,Chennai,2025-06-15
STU1013,Santhosh L,santhosh13@gmail.com,8225627848,Machine Learning,False,Salem,2025-05-14
STU1014,Lakshmi M,,9789685465,Machine Learning,True,Salem,2025-08-02
STU1015,Vijay V,vijay15@gmail.com,7897759113,Machine Learning,False,Madurai,2025-01-15
STU1016,Pooja N,pooja16@gmail.com,9987348065,Machine Learning,False,Coimbatore,2025-02-12
STU1017,Dinesh M,dinesh17@gmail.com,8721116273,Python,True,Madurai,2025-05-17
STU1018,Saranya N,saranya18@gmail.com,9210894455,Python,False,Coimbatore,2025-04-14
STU1019,Bala L,bala19@gmail.com,8225002448,Python,True,Madurai,2025-06-17
STU1020,Revathi P,revathi20@gmail.com,9554503059,Data Science,True,Trichy,2025-03-24
STU1021,Muthu S,muthu21@gmail.com,8350546428,Machine Learning,True,Chennai,2025-05-19
STU1022,Geetha D,geetha22@gmail.com,8573184690,Machine Learning,True,Madurai,2025-02-10
STU1023,Prasanth L,prasanth23@gmail.com,9320303450,Machine Learning,False,Coimbatore,2025-03-08
STU1024,Divya L,divya24@gmail.com,7798446390,Machine Learning,True,Salem,2025-02-20
STU1025,Senthil K,senthil25@gmail.com,8726326068,Python,False,Madurai,2025-06-15
STU1026,Janaki S,janaki26@gmail.com,7609060178,Data Science,False,Coimbatore,2025-04-23
STU1027,Ramesh L,,8279336683,Data Science,False,Trichy,2025-02-28
STU1028,Keerthi T,keerthi28@gmail.com,7046720267,Data Science,False,Madurai,2025-06-22
STU1029,Harish P,harish29@gmail.com,9727135342,Data Science,False,Madurai,2025-04-04
STU1030,Swathi R,swathi30@gmail.com,7371672121,Data Science,True,Trichy,2025-01-30
STU1031,Ajith L,ajith31@gmail.com,7803144579,Python,False,Salem,2025-06-01
STU1032,Naveen M,naveen32@gmail.com,7761237469,Python,False,Chennai,2025-05-28
STU1033,Gayathri T,gayathri33@gmail.com,9186172472,Python,False,Chennai,2025-04-24
STU1034,Pradeep R,pradeep34@gmail.com,8131996532,Machine Learning,False,Salem,
STU1035,Shalini K,shalini35@gmail.com,7097457895,Python,False,Madurai,2025-01-29
STU1036,Vignesh L,vignesh36@gmail.com,7648058778,Ml,False,Coimbatore,2025-03-05
STU1037,Aarthi R,aarthi37@gmail.com,7818958139,Python,True,Salem,
STU1038,Mohan T,mohan38@gmail.com,9490704392,Python,True,Trichy,2025-03-12
STU1039,Kiran D,kiran39@gmail.com,8531512572,Python,False,Coimbatore,2025-04-26
STU1040,Sindhu V,sindhu40@gmail.com,8163484414,Machine Learning,False,Salem,2025-02-13
STU1041,Vasanth K,vasanth41@gmail.com,7247059406,Python,False,Chennai,2025-05-31
STU1042,Hemalatha T,hemalatha42@gmail.com,7802593459,Data Science,False,Salem,2025-04-11
STU1043,Rohit L,rohit43@gmail.com,9382203068,Python,True,Trichy,2025-04-03
STU1044,Sneha S,sneha44@gmail.com,9318074770,Python,True,Madurai,
STU1045,Ganesh K,ganesh45@gmail.com,7349790102,Python,False,Madurai,2025-01-24
STU1046,Preethi M,preethi46@gmail.com,9225661403,Python,True,Trichy,
STU1047,Kumar L,kumar47@gmail.com,7068950800,Ml,True,Madurai,2025-04-23
STU1048,Sathya K,sathya48@gmail.com,7173317013,Python,False,Salem,2025-08-04
STU1049,Arthi R,arthi49@gmail.com,7781665842,Python,True,Salem,2025-05-10
STU1050,Vinoth N,vinoth50@gmail.com,9864276212,Python,True,Trichy,2025-06-27
